report_date,jurisdiction_name,adp_nonsentenced_male,adp_nonsentenced_female,adp_sentenced_male,adp_sentenced_female,adp_total,adp_nonsentenced_felony,adp_sentenced_felony,adp_felony_total,adp_nonsentenced_misdemeanor,adp_sentenced_misdemeanor,adp_misdemeanor_total,date_of_highest_pop,highest_one_day_pop,adp_max_security,adp_med_security,adp_min_security,mental_health_cases_opened_last_day_of_month,new_mental_health_cases_opened_during_this_month,"inmates_receiving_psych_medication,last_day_of_month",inmates_assigned_to_mental_health_beds_last_day_of_month,total_#_seen_at_inmate_sick_call,physician/practitioner_occurrences_this_month,off_site_medical_appointments_this_month,dental_encounters_this_month,total_#_assigned_to_medical_beds_last_day_of_the_month,avg_#_inmates_not_assigned_to_housing,avg_#_in_contract_beds_in_other_public/private_institutions,avg_#_of_federal_inmates_housed_in_your_system_on_contract,avg_#_of_state_inmates_housed_on_contract,avg_#_from_other_counties_housed_on_contract.,avg_#_of_inmates_sent._and_awaiting_transport_to_state_prison,avg_#_of_inmates_in_hospital(s)_outside_of_facilities,total_#_booked,total_#_of_pretrial_released_due_to_lack_of_capacity,total_#_of_sent._released_due_to_lack_of_capacity,total_#_juveniles_(per_wic_707),total_#_released_between_6_am_before_5pm,total_#_released_between_5_pm_before_11pm,total_#_released_between_11_pm_before_6am,total_#_of_pc_1170(h)(1)_sentenced_new_commitment,total_#_of_pc1170(h)_placed_alternative_in_custody,total_#_of_pc_1170(h)_in_alternative_custody_returned_to_custody,total_#_of_prcs_booked_on_a_flash_incarceration,total_#_of_prcs_booked_pursuant_to_pc_3455(a),total_#_of_prcs_booked_with_a_new_local_charge(s),total_#_of_prcs_received_jail_time_due_to_revocation_hearing,total_#_of_state_parolees_booked_on_a_pc_3056(a)_violation,total_#_of_state_parolees_who_received_jail_time_due_to_parole_revocation,total_#_of_state_parolees_who_were_booked_on_any_new_offense(s),total_#_of_state_parolees_sentenced_on_a_new_local_offense
2024-07-31,Alameda Sheriff's Dept.,1358,111,106,4,1579,1324,97,1421,145,13,158,7/7/2024,1641,-,-,-,,802,659,7,1122,608,66,239,9,0,1,312,17,0,17,5,2322,0,0,0,976,1171,212,0,0,0,0,4,10,2,0,0,2,0
2024-07-31,Amador Sheriff's Dept.,42,9,25,3,79,44,23,67,7,5,12,07/15/2024,87,-,-,-,33,21,34,0,211,42,6,0,0,10,2,0,0,0,4,1,131,0,19,0,95,25,14,1,0,0,1,2,0,1,4,1,3,1
2024-07-31,Butte Sheriff's Dept.,277,57,139,28,501,305,146,451,29,21,50,07/14/2024,518,-,-,-,302,225,96,10,251,288,22,73,0,6,0,23,0,0,10,12,770,10,14,0,537,131,141,11,5,1,0,11,18,8,20,8,13,3
2024-07-31,Calaveras Sheriff's Dept.,72,13,2,1,88,77,3,80,8,0,8,07/01/2024,100,-,-,-,56,23,49,18,224,153,0,0,0,0,0,0,0,0,0,0,115,0,0,0,49,12,13,1,0,0,1,1,1,0,2,0,0,0
2024-07-31,Colusa Sheriff's Dept.,33,5,12,2,52,32,10,42,6,4,10,07/09/2024,59,-,-,-,18,8,18,0,125,30,2,4,0,,0,5,0,0,2,0,88,0,0,0,44,12,24,1,0,0,0,4,2,4,1,0,0,0
2024-07-31,Contra Costa Sheriff's Dept.,689,71,134,22,916,684,140,824,76,16,92,07/07/2024,958,-,-,-,508,794,360,25,2849,861,144,82,6,0,0,11,0,1,10,3,1280,0,0,0,587,532,69,2,0,0,1,9,14,14,14,4,24,1
2024-07-31,Del Norte Sheriff's Dept.,45,9,23,6,83,49,23,72,5,6,11,07/05/2024,87,-,-,-,,,42,,71,,1,3,,4,,,,,,,196,,,0,,,,,,,,,,,,,,
2024-07-31,El Dorado Sheriff's Dept.,238,36,28,7,309,249,21,270,25,14,39,07/28/2024,325,-,-,-,279,20,119,0,296,146,4,31,6,,0,1,0,1,1,0,491,0,0,0,355,122,22,1,0,0,1,5,7,8,5,0,8,11
2024-07-31,Fresno Sheriff's Dept.,1846,210,401,49,2506,1954,379,2333,102,71,173,07/01/2024,2546,-,-,-,1220,145,812,132,5645,1595,67,885,36,45,4,69,,,69,7,2235,302,19,0,1129,688,519,77,0,0,12,43,101,50,0,0,0,0
2024-07-31,Glenn Sheriff's Dept.,34,5,18,1,58,36,9,45,3,10,13,07/01/2024,68,-,-,-,36,9,19,0,90,30,0,4,0,0,0,0,0,0,1,0,66,2,1,0,55,10,14,5,0,0,2,4,4,5,1,0,0,0
