report_date,jurisdiction_name,adp_nonsentenced_male,adp_nonsentenced_female,adp_sentenced_male,adp_sentenced_female,adp_total,adp_nonsentenced_felony,adp_sentenced_felony,adp_felony_total,adp_nonsentenced_misdemeanor,adp_sentenced_misdemeanor,adp_misdemeanor_total,date_of_highest_pop,highest_one_day_pop,adp_max_security,adp_med_security,adp_min_security,mental_health_cases_opened_last_day_of_month,new_mental_health_cases_opened_during_this_month,"inmates_receiving_psych_medication,last_day_of_month",inmates_assigned_to_mental_health_beds_last_day_of_month,total_#_seen_at_inmate_sick_call,physician/practitioner_occurrences_this_month,off_site_medical_appointments_this_month,dental_encounters_this_month,total_#_assigned_to_medical_beds_last_day_of_the_month,avg_#_inmates_not_assigned_to_housing,avg_#_in_contract_beds_in_other_public/private_institutions,avg_#_of_federal_inmates_housed_in_your_system_on_contract,avg_#_of_state_inmates_housed_on_contract,avg_#_from_other_counties_housed_on_contract.,avg_#_of_inmates_sent._and_awaiting_transport_to_state_prison,avg_#_of_inmates_in_hospital(s)_outside_of_facilities,total_#_booked,total_#_of_pretrial_released_due_to_lack_of_capacity,total_#_of_sent._released_due_to_lack_of_capacity,total_#_juveniles_(per_wic_707),total_#_released_between_6_am_before_5pm,total_#_released_between_5_pm_before_11pm,total_#_released_between_11_pm_before_6am,total_#_of_pc_1170(h)(1)_sentenced_new_commitment,total_#_of_pc1170(h)_placed_alternative_in_custody,total_#_of_pc_1170(h)_in_alternative_custody_returned_to_custody,total_#_of_prcs_booked_on_a_flash_incarceration,total_#_of_prcs_booked_pursuant_to_pc_3455(a),total_#_of_prcs_booked_with_a_new_local_charge(s),total_#_of_prcs_received_jail_time_due_to_revocation_hearing,total_#_of_state_parolees_booked_on_a_pc_3056(a)_violation,total_#_of_state_parolees_who_received_jail_time_due_to_parole_revocation,total_#_of_state_parolees_who_were_booked_on_any_new_offense(s),total_#_of_state_parolees_sentenced_on_a_new_local_offense
2024-09-30,Alameda Sheriff's Dept.,1360,99,95,5,1559,1331,95,1426,128,5,133,09/02/2024,1626,-,-,-,,798,618,9,1122,602,68,241,9,0,1,302,22,0,22,5,2187,0,0,0,975,922,229,0,0,0,0,4,18,3,1,2,0,0
2024-09-30,Amador Sheriff's Dept.,43,8,21,6,78,43,21,64,8,6,14,09/04/2024,85,-,-,-,42,23,37,0,187,68,6,4,0,7,2,0,0,0,6,1,116,0,22,0,81,19,11,1,0,0,0,2,0,2,0,0,1,0
2024-09-30,Butte Sheriff's Dept.,306,48,152,28,534,333,158,491,21,22,43,09/17/2024,546,-,-,-,323,218,105,10,226,273,15,60,0,5,0,18,0,0,12,11,805,9,4,0,494,103,138,10,5,1,2,15,18,10,22,11,11,4
2024-09-30,Calaveras Sheriff's Dept.,77,8,6,2,93,76,8,84,9,0,9,09/13/2024,99,-,-,-,53,13,47,18,176,144,2,4,0,0,0,0,0,0,0,0,110,0,0,0,55,8,11,0,0,0,1,2,2,2,1,0,1,0
2024-09-30,Colusa Sheriff's Dept.,28,4,9,4,45,28,11,39,4,2,6,09/18/2024,51,-,-,-,28,12,14,0,120,32,5,6,0,,0,3,0,0,1,0,80,0,0,0,50,10,19,1,0,0,0,3,2,3,0,0,0,0
2024-09-30,Contra Costa Sheriff's Dept.,713,62,152,17,944,698,152,850,77,17,94,09/09/2024,981,-,-,-,527,718,369,16,3753,798,161,136,5,0,0,8,0,1,12,3,1384,0,0,0,535,558,73,6,0,0,0,14,16,18,10,2,24,0
2024-09-30,Del Norte Sheriff's Dept.,36,12,29,4,81,39,25,64,9,8,17,9/11/2024,87,-,-,-,,,43,,56,,4,0,,3,,,,,,,131,,,0,,,,,,,,,,,,,,
2024-09-30,El Dorado Sheriff's Dept.,243,43,23,1,310,261,12,273,25,12,37,09/01/2024,330,-,-,-,354,15,113,0,292,100,5,52,3,,0,0,0,0,0,0,401,0,0,0,324,85,32,0,0,0,1,5,4,5,5,0,6,7
2024-09-30,Fresno Sheriff's Dept.,1857,227,433,44,2561,1982,393,2375,102,84,186,09/22/2024,2597,-,-,-,1199,99,858,139,4941,1473,60,722,34,44,4,72,,,63,7,2196,302,19,0,1001,575,604,60,0,0,8,37,105,34,0,0,0,0
2024-09-30,Glenn Sheriff's Dept.,36,4,21,4,65,33,17,50,7,8,15,09/13/2024,71,-,-,-,27,10,19,0,148,32,2,2,0,1,0,0,0,0,3,0,91,0,0,0,65,16,7,1,0,0,2,1,0,1,0,0,0,0
2024-09-30,Humboldt Sheriff's Dept.,189,34,45,6,274,198,51,249,25,0,25,09/04/2024,294,-,-,-,210,208,71,,1073,361,8,32,9,6,,0,,,6,0,606,0,39,,344,164,102,0,0,0,0,3,8,9,6,6,4,2
2024-09-30,Imperial Sheriff's Dept.,165,27,123,14,329,164,117,281,28,20,48,09/16/2024,345,-,-,-,213,67,213,10,573,471,23,49,18,0,0,2,0,0,12,0,282,0,0,0,184,49,47,5,0,0,0,6,0,0,4,0,0,0
2024-09-30,Inyo Sheriff's Dept.,39,10,5,3,57,40,6,46,9,2,11,09/02/2024,60,-,-,-,29,5,20,,82,32,0,2,,0,0,0,0,0,0,0,59,0,0,0,22,13,29,0,0,0,0,2,1,2,0,0,0,0
2024-09-30,Kern Sheriff's Dept.,1368,170,206,17,1761,1423,188,1611,115,35,150,09/09/2024,1890,-,-,-,909,369,540,58,2946,104,267,56,33,34,,30,,,80,5,2310,702,213,,1112,660,593,25,41,15,1,29,156,7,14,0,70,37
2024-09-30,Kings Sheriff's Dept.,231,23,78,12,344,239,57,296,15,33,48,09/29/2024,367,-,-,-,277,98,177,17,1163,350,19,56,10,,0,0,0,1,5,0,438,0,0,0,,,,7,,,0,5,6,13,7,5,9,4
2024-09-30,Lake Sheriff's Dept.,124,27,57,13,221,129,49,178,22,21,43,09/09/2024,233,-,-,-,61,41,57,,511,35,2,22,,0,0,0,0,0,11,9,315,0,0,0,200,81,22,3,0,0,2,1,2,3,3,0,8,1
2024-09-30,Lassen Sheriff's Dept.,66,11,4,3,84,53,5,58,24,2,26,09/23/2024,92,-,-,-,19,6,19,0,283,17,3,0,0,0,0,0,0,0,0,0,97,0,0,0,39,40,18,0,1,0,0,0,2,2,0,0,0,0
